index-entry-number,entry-number,entry-timestamp,key,field,datatype,phase,register,cardinality,text
136,136,2018-11-01T11:03:00Z,controllers,controllers,curie,beta,,n,"The unique codes for the disclosers of the information."
134,134,2018-11-01T11:02:18Z,areas,areas,curie,beta,,n,"The unique codes for the geographical areas the information sharing agreement applies to."
133,133,2018-11-01T11:01:36Z,area-names,area-names,string,beta,,n,"The names of the geographical areas the information sharing agreement applies to."
132,132,2018-07-03T09:52:30Z,"profession-capability-framework-skill","profession-capability-framework-skill",curie,beta,,1,"The unique code for the skills used in a profession capability framework."
131,131,2018-07-03T09:52:11Z,"profession-capability-framework-skill-type","profession-capability-framework-skill-type",curie,beta,,1,"The unique code for a type of skill for use in a profession capability framework."
130,130,2018-07-03T09:51:53Z,"profession-capability-framework-role","profession-capability-framework-role",curie,beta,,1,"The unique code for a role in the profession capability framework."
129,129,2018-07-03T09:51:34Z,"profession-capability-framework-role-level","profession-capability-framework-role-level",curie,beta,,1,"The unique code for the levels associated with each role in a profession capability framework."
128,128,2018-07-03T09:51:15Z,"profession-capability-framework-level","profession-capability-framework-level",curie,beta,,1,"The unique code for a level of competency for each profession capability framework skill."
127,127,2018-07-03T09:50:57Z,"profession-capability-framework-job-family","profession-capability-framework-job-family",curie,beta,,1,"The unique code for a job family defined for use in a profession capability framework."
126,126,2018-07-03T09:49:55Z,description,description,string,beta,,1,"Descriptive information for an entry."
125,125,2018-07-03T09:49:30Z,"ddat-profession-capability-framework","ddat-profession-capability-framework",string,beta,"ddat-profession-capability-framework",1,"The Unique Code for a Digital Data and Technology profession capability framework."
124,124,2018-07-03T09:49:11Z,"ddat-profession-capability-framework-skill","ddat-profession-capability-framework-skill",string,beta,"ddat-profession-capability-framework-skill",1,"The unique code for the skills used in the Digital, Data and Technology Profession Capability Framework."
123,123,2018-07-03T09:48:52Z,"ddat-profession-capability-framework-skill-type","ddat-profession-capability-framework-skill-type",string,beta,"ddat-profession-capability-framework-skill-type",1,"The unique code for a type of skill for use in the Digital, Data and Technology Profession Capability Framework."
122,122,2018-07-03T09:48:33Z,"ddat-profession-capability-framework-skill-level","ddat-profession-capability-framework-skill-level",string,beta,"ddat-profession-capability-framework-skill-level",1,"The unique code for each combination of skills and levels, and the appropriate descriptions, used in the Digital, Data and Technology Profession Capability Framework."
121,121,2018-07-03T09:48:14Z,"ddat-profession-capability-framework-role","ddat-profession-capability-framework-role",string,beta,"ddat-profession-capability-framework-role",1,"The unique code for a role in the Digital, Data and Technology Profession Capability Framework."
120,120,2018-07-03T09:47:50Z,"ddat-profession-capability-framework-role-level","ddat-profession-capability-framework-role-level",string,beta,"ddat-profession-capability-framework-role-level",1,"The unique code for the levels associated with each role in the Digital, Data and Technology Profession Capability Framework."
119,119,2018-07-03T09:47:19Z,"ddat-profession-capability-framework-level","ddat-profession-capability-framework-level",string,beta,"ddat-profession-capability-framework-level",1,"The unique code for a level of competency for each Digital, Data and Technology Profession Capability Framework skill."
118,118,2018-07-03T09:45:54Z,"ddat-profession-capability-framework-job-family","ddat-profession-capability-framework-job-family",string,beta,"ddat-profession-capability-framework-job-family",1,"The unique code for a job family defined for use in the Digital, Data and Technology Profession Capability Framework."
117,117,2018-06-21T12:59:30Z,short-name,short-name,string,beta,,1,"The short name of a record."
116,116,2018-06-21T12:59:00Z,approved-open-standards,approved-open-standards,curie,beta,approved-open-standard,n,"Open standards that has been approved by government technology."
115,115,2018-06-21T12:58:40Z,approved-open-standard,approved-open-standard,string,beta,approved-open-standard,1,"An open standard that has been approved by government technology."
114,114,2018-06-21T12:57:45Z,"approved-open-standard-guidance","approved-open-standard-guidance",string,beta,"approved-open-standard-guidance",1,"Guidance related to an open standard that has been approved for use in government technology."
113,113,2018-06-04T15:33:59Z,website,website,url,beta,,1,"The website for a record."
112,112,2018-06-04T15:33:22Z,text,text,text,beta,,1,"More information about a record in a register."
111,111,2018-06-04T15:32:36Z,statistical-geography,statistical-geography,string,beta,statistical-geography,1,"The unique code for a geography used in official statistics. A geography is a way to divide a larger area into smaller areas."
110,110,2018-06-04T15:31:48Z,registry,registry,string,beta,,1,"The organisation responsible for the data in a register. The custodian is usually from the organisation."
109,109,2018-06-04T15:31:19Z,registration-district,registration-district,string,beta,registration-district,1,"The unique code for a registration district in England or Wales."
108,108,2018-06-04T15:30:15Z,qualification-type,qualification-type,string,beta,qualification-type,1,"The unique code for a type of qualification regulated by Ofqual."
107,107,2018-06-04T15:29:13Z,qualification-sub-level,qualification-sub-level,string,beta,,1,"The unique code for a sub-level of a qualification regulated by Ofqual."
106,106,2018-06-04T15:28:34Z,"qualification-sector-subject-area","qualification-sector-subject-area",string,beta,"qualification-sector-subject-area",1,"The unique code for a subject of a qualification regulated by Ofqual."
105,105,2018-06-04T15:27:53Z,qualification-level,qualification-level,string,beta,qualification-level,1,"The unique code for a level of a qualification regulated by Ofqual."
104,104,2018-06-04T15:27:20Z,"qualification-assessment-method","qualification-assessment-method",string,beta,"qualification-assessment-method",1,"The unique code for a method of assessment used by a qualification regulated by Ofqual. For example, a written examination or coursework."
103,103,2018-06-04T15:26:52Z,prison-estate,prison-estate,string,beta,prison-estate,1,"The unique code for part of the Prison Estate in England and Wales, including public and contracted prisons, and HMPPS Immigration Removal Centres."
102,102,2018-06-04T15:26:21Z,"parent-qualification-sector-subject-area","parent-qualification-sector-subject-area",string,beta,"qualification-sector-subject-area",1,"The unique code for a wider subject area of a qualification regulated by Ofqual. For example, sociology is part of the wider subject area of social sciences."
101,101,2018-06-04T15:25:47Z,name-cy,name-cy,string,beta,,1,"The commonly-used Welsh name of a record."
100,100,2018-06-04T15:23:44Z,local-authority-type,local-authority-type,string,beta,local-authority-type,1,"The unique code for the type of local government organisation. For example, county council."
99,99,2018-06-04T15:22:48Z,local-authority-sct,local-authority-sct,string,beta,local-authority-sct,1,"The unique code for a local authority in Scotland."
98,98,2018-06-04T15:22:14Z,local-authority-nir,local-authority-nir,string,beta,local-authority-nir,1,"The unique code for a local authority in Northern Ireland."
97,97,2018-06-04T15:16:34Z,legislation,legislation,string,beta,,1,"The unique code for the legislation that defines the board's powers and duties."
96,96,2018-06-04T15:15:20Z,jobcentre,jobcentre,string,beta,jobcentre,1,"The unique code for a jobcentre office."
95,95,2018-06-04T15:14:44Z,jobcentre-group,jobcentre-group,string,beta,jobcentre-group,1,"The unique code for a grouping of jobcentre offices."
94,94,2018-06-04T15:13:37Z,jobcentre-district,jobcentre-district,string,beta,jobcentre-district,1,"The unique code for a jobcentre office district."
93,93,2018-06-04T15:13:02Z,internal-drainage-board,internal-drainage-board,string,beta,internal-drainage-board,1,"The unique code for an internal drainage board."
92,92,2018-06-04T15:12:11Z,hostname,hostname,string,beta,,1,"The section of a GOV.UK URL that identifies a service. For example, student-finance.service.gov.uk."
91,91,2018-06-04T15:11:16Z,government-service,government-service,string,beta,government-service,1,"The unique code for a government service with a GOV.UK government service domain."
90,90,2018-06-04T15:10:39Z,government-organisation,government-organisation,string,beta,government-organisation,1,"The unique code for a government organisation."
89,89,2018-06-04T15:09:43Z,government-domain,government-domain,string,beta,government-domain,1,"The unique code for a GOV.UK government domain."
88,88,2018-06-04T15:02:19Z,"european-qualification-framework-level","european-qualification-framework-level",string,beta,,1,"The level of qualification under the European Qualifications Framework."
87,87,2018-06-04T15:01:37Z,cardinality,cardinality,string,beta,,1,"A character (either '1' or 'n') that explains if a field in a register can contain multiple values. For example, a Strategic Health Authority may be located in two different territories."
86,86,2018-06-04T15:00:33Z,allergen,allergen,string,beta,allergen,1,"The unique code for a food allergen as recognised by the Food Standards Agency."
74,74,2018-02-20T08:48:15Z,address,address,string,beta,,1,"The unique property reference number (UPRN) for an address in the UK."
73,73,2018-02-15T09:58:47Z,"statistical-geography-local-government-district-nir","statistical-geography-local-government-district-nir",string,beta,"statistical-geography-local-government-district-nir",1,"The statistical geography code for a local government district in Northern Ireland."
70,70,2017-12-18T08:21:05Z,"statistical-geography-unitary-authority-eng","statistical-geography-unitary-authority-eng",string,beta,"statistical-geography-unitary-authority-eng",1,"The statistical geography code for a unitary authority in England."
69,69,2017-12-18T08:20:43Z,"statistical-geography-non-metropolitan-district-eng","statistical-geography-non-metropolitan-district-eng",string,beta,"statistical-geography-non-metropolitan-district-eng",1,"The statistical geography code for a non-metropolitan district in England."
68,68,2017-12-18T08:19:48Z,"statistical-geography-registration-district-wls","statistical-geography-registration-district-wls",string,beta,"statistical-geography-registration-district-wls",1,"The statistical geography code for a registration district in Wales."
67,67,2017-12-18T08:18:57Z,"statistical-geography-registration-district-eng","statistical-geography-registration-district-eng",string,beta,"statistical-geography-registration-district-eng",1,"The statistical geography code for a registration district in England."
66,66,2017-12-18T08:18:18Z,"statistical-geography-metropolitan-district-eng","statistical-geography-metropolitan-district-eng",string,beta,"statistical-geography-metropolitan-district-eng",1,"The statistical geography code for a metropolitan district in England."
65,65,2017-12-18T08:17:37Z,"statistical-geography-london-borough-eng","statistical-geography-london-borough-eng",string,beta,"statistical-geography-london-borough-eng",1,"The statistical geography code for a London borough in England."
64,64,2017-12-18T08:15:40Z,"statistical-geography-county-eng","statistical-geography-county-eng",string,beta,"statistical-geography-county-eng",1,"The statistical geography code for a county in England."
63,63,2017-12-15T14:39:46Z,local-authority-eng,local-authority-eng,string,beta,local-authority-eng,1,"The local authority's ISO 3166-2:GB code. Unique codes have been created for local authorities that don't have an existing ISO code."
61,61,2017-12-15T14:37:35Z,start-date,start-date,datetime,beta,,1,"The date a record first became relevant to a register."
59,59,2017-12-15T14:35:16Z,fields,fields,string,beta,field,n,"The names of the fields in a register."
58,58,2017-12-15T14:34:39Z,field,field,string,beta,field,1,"The name of a field. This field can appear in more than one register."
57,57,2017-12-15T14:33:01Z,end-date,end-date,datetime,beta,,1,"The date a record stopped being applicable."
54,54,2017-09-25T08:14:04Z,"statistical-geography-unitary-authority-wls","statistical-geography-unitary-authority-wls",string,beta,"statistical-geography-unitary-authority-wls",1,"The statistical geography code for a principal local authority."
53,53,2017-09-25T08:13:07Z,organisation,organisation,curie,beta,,1,"The entity's organisation."
51,51,2017-09-25T08:11:13Z,area,area,curie,beta,,n,"The geographic area for an entity."
50,50,2017-07-07T10:50:29Z,"principal-local-authority","principal-local-authority",string,beta,"principal-local-authority",1,"A principal local authority in Wales."
49,49,2017-07-07T10:49:51Z,official-name-cy,official-name-cy,string,beta,,1,"The official or technical Welsh name of a record."
37,37,2017-01-10T17:16:07Z,territory,territory,string,beta,territory,1,"The territory's ISO 3166-1 alpha3 code. Unique codes have been created for territories that don't have an existing ISO code."
34,34,2017-01-10T17:16:07Z,register,register,string,beta,register,1,"The name of a register."
33,33,2017-01-10T17:16:07Z,phase,phase,string,beta,,1,"The stage of development a register is in. There are 4 phases - discovery, alpha, beta and live."
32,32,2017-01-10T17:16:07Z,official-name,official-name,string,beta,,1,"The official or technical name of a record."
31,31,2017-01-10T17:16:07Z,name,name,string,beta,,1,"The commonly-used name of a record."
25,25,2017-01-10T17:16:07Z,datatype,datatype,string,beta,datatype,1,"The format of the data held in a field."
24,24,2017-01-10T17:16:07Z,country,country,string,beta,country,1,"The country's 2-letter ISO 3166-2 alpha2 code."
23,23,2017-01-10T17:16:07Z,copyright,copyright,text,beta,,1,"The copyright and licensing terms which may apply to the data held in a register."
22,22,2017-01-10T17:16:07Z,citizen-names,citizen-names,string,beta,,1,"The name of a country's citizens."
